INFO  2009-05-11T16:06:00,462 net.sf.vanadis.extrt.FrameworkExtenderBundleActivator: FrameworkExtenderBundleActivator[] created [main]
INFO  2009-05-11T16:06:01,722 net.sf.vanadis.osgi.impl.OSGiContext: OSGiContext[name:net.sf.vanadis.modules.log home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000] registered OSGiRegistration[SimpleLogService[] prop:ServiceProperties[[org.osgi.service.log.LogService]:MapPropertySet[[objectClass=[Ljava.lang.String;@4929a06b service.ranking=-2147483648 vanadis.hostobject.name=logservice vanadis.hostobject.type=logservice vanadis.servicename=logservice:logservice] writable:false]] reg:org.apache.felix.framework.ServiceRegistrationImpl@5dadd1c5] [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
DEBUG 2009-05-11T16:06:01,726 net.sf.vanadis.extrt.DependencyTracker: DependencyTracker[tracking:[logservice] complete:1 requiredIncomplete:0 incomplete:0] completed logservice [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,726 net.sf.vanadis.extrt.ObjectManagerState: ObjectManagerState[SERVICES_EXPOSED] completed transition to SERVICES_EXPOSED [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,726 net.sf.vanadis.extrt.SystemEventsImpl: SystemEventsImpl[types:[]] notified of state change in ObjectManagerImpl[SimpleLogService[] state:ObjectManagerState[SERVICES_EXPOSED] context:OSGiContext[name:net.sf.vanadis.modules.log home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000]] [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,726 net.sf.vanadis.extrt.ObjectManagerState: ObjectManagerState[ACTIVE] completed transition to ACTIVE [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,726 net.sf.vanadis.extrt.SystemEventsImpl: SystemEventsImpl[types:[]] notified of state change in ObjectManagerImpl[SimpleLogService[] state:ObjectManagerState[ACTIVE] context:OSGiContext[name:net.sf.vanadis.modules.log home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000]] [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,726 net.sf.vanadis.extrt.ObjectManagerFactoryImpl: ObjectManagerFactoryImpl[logservice impl:SimpleLogService] received ModuleSpecification[logservice type:logservice], created SimpleLogService[] of class net.sf.vanadis.modules.log.SimpleLogService, managing it with ObjectManagerImpl[SimpleLogService[] state:ObjectManagerState[ACTIVE] context:OSGiContext[name:net.sf.vanadis.modules.log home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000]] [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,726 net.sf.vanadis.extrt.BundleManager: BundleManager[[logservice]] registered 1 object manager factories , auto-launched 1 object managers [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,727 net.sf.vanadis.extrt.SystemEventsImpl: SystemEventsImpl[types:[logservice]] tracks bundle net.sf.vanadis.modules.log [11]: BundleManager[[logservice]] [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,820 net.sf.vanadis.extrt.SystemEventsImpl: SystemEventsImpl[types:[logservice]] already tracking net.sf.vanadis.modules.log [11]: BundleManager[[logservice]] [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
